hotelcode,hotelname,pricemin,pricemax
49397,Hotel Best Western Louvre Saint Honore,178.47,399.44
49421,Regina Opera Hotel,134.59,313.46
49441,Novotel Muenchen Messe Hotel,156.88,277.82
49448,Westend Hotel,70.23,115.67
49553,Hotel Repubblica Marinara,50.64,141.65
49565,Splendid Venice Venezia - Starhotels Collezione,281.3,2190.1
49586,Hotel Kennedy Nova,44.45,121.5
49626,Hotel Exe Isla Cartuja,115.93,199.92
49668,Aberdeen Douglas Hotel,68.64,100.32
49676,Grange Fitzrovia Hotel,180.93,332.88
49677,Jurys Inn London Holborn,151.1,379.08
49678,Grange Langham Court Hotel,168.79,332.88
49683,Grange Portland,144.5,391.49
49684,Mercure Edinburgh City Princes Street Hotel,65.78,164.72
50409,Hotel Ivalo,125.58,211.98
50419,Hotel Le Bailli de Suffren,122.1,169.89
50434,Chateaudun Opera Hotel,77.24,304.35
50435,Oceania L'Univers Tours,117.54,259.2
50439,Hotel des Arenes,135.63,185.85
50442,Du Mont Dore Hotel,70.33,160.74
50460,Mercure Paris 19 Philharmonie,139.64,288.33
50506,Hotel Panorama,67.31,199.92
50582,Steigenberger Hotel Deidesheim,95.69,211.72
50606,NH Hirschberg Heidelberg,82.62,205.95
50607,NH Hamburg Horner Rennbahn,159.27,306.45
50679,The Swan Nest Hotel,49.42,1544.88
50703,Golden Age of Athens,101.26,192.85
50749,Bastion Amsterdam Centrum Noord Hotel,112.53,162.9
50753,Courtyard Amsterdam Airport,108.59,222.03
50766,Novotel Rotterdam Schiedam,71.98,174.38
50861,Salles Pere IV Hotel,85.39,211.59
50890,Hotel-Restaurant Bernerhof Kandersteg,107.45,111.32
50967,Macdonald Aviemore Hotel,162.61,315.72
50990,Macdonald Burlington Hotel,62.09,329.45
51035,Macdonald Houstoun House Hotel and Spa,72.45,252.37
51074,Novotel Leeds Centre Hotel,78.14,140.44
51084,First Hotel Europa,68.67,169.9
51106,Macdonald Tickled Trout Hotel,65.57,131.99
51116,Hotel Viladomat,70.22,157.15
51122,Ibis Styles Berlin an der Oper,69.27,119.8
51137,Hotel Bartolomeo,70.33,120.55
51139,Best Western Carlton Hotel,56.45,134.63
51147,Campanile Leicester Hotel,52.95,95.8
51150,Campanile Manchester - Salford,106.81,162.35
51164,Dene Hotel Chester,36.96,147.83
51170,Espana Hotel,41.06,58.41
51172,Holiday Inn Express Hemel Hempstead,95.03,309.81
51192,Hesperia Presidente,160.84,310.13
51223,Kellys Hotel,111.0,203.49
51267,Hotel Praesident,88.31,144.59
51300,Hotel Saint George,43.24,66.31
51545,Campanile Hotel Varsovie,37.02,72.11
51565,Village Hotel Swindon,36.96,95.03
51576,Oulton Hall - Qhotels,107.39,184.78
51577,Royal Bath Hotel,38.01,244.97
51632,Ibis Styles Napoli Garibaldi,108.5,134.62
51639,Hotel Opera by Zeus International,56.14,86.38
51657,Suite Hotel Jardins Da Ajuda,46.78,146.5
51675,Village Hotel Birmingham Dudley,51.74,109.82
51678,Village Hotel Manchester Bury,88.7,152.05
51681,Village Hotel Leeds North,72.86,109.82
51685,Village Hotel Nottingham,58.07,116.16
59258,Hotel Elysee,57.21,99.46
59547,Hotel Santana,31.88,145.41
59704,Hotel Coroana de Aur,53.47,61.69
59709,Elizeu Hotel,31.04,70.66
59917,Airport Hotel Erfurt,69.4,159.06
59932,East Hotel,145.02,298.47
59941,Hotel Wilhelm Busch,102.24,205.53
59961,Hotel Rivoli,56.98,118.77
59965,NH Forsthaus Furth Nurnberg,112.58,250.97
59969,Hotel Die Kleine Sonne,68.78,94.64
60028,Bournemouth West Cliff Hotel,65.57,157.34
60029,The Green House Hotel,126.67,262.92
60049,"Hallmark Hotel Wrexham Llyndir Hall, near Chester",69.31,227.03
60059,Leonardo Boutique Hotel Simpson Townhouse Edinburgh,91.38,246.03
60068,Devoncove Hotel Glasgow,32.1,99.3
60074,The Saracens Head Hotel,84.58,146.77
60075,The Kimberley Hotel,57.02,125.54
60079,Cisswood House,100.32,142.55
60092,"Lincoln Hotel, Sure Hotel Collection by Best Western",84.48,197.45
60096,Stradey Park Hotel,80.78,167.09
60115,Exhibition Court Hotel 4,52.93,79.4
60116,Fairway Hotel,106.44,195.35
60132,Oxford Hotel,58.34,126.71
60134,Piccolino Hotel,136.21,237.56
60151,Holiday Inn London Elstree,60.19,137.27
60159,Manchester Airport Marriott Hotel,83.41,199.57
60180,Best Western Aberavon Beach Hotel,52.27,147.83
60190,Ben Wyvis Hotel,43.3,185.31
60191,Roker Hotel BW Premier Collection,52.27,96.08
60192,Brook Marston Farm Hotel,103.9,174.23
60199,The George Hotel,114.04,230.2
60203,Lakeside Hotel and Spa,205.9,332.62
60489,Palace Hotel Zandvoort,50.18,410.61
60547,Hostel Du Roy,65.3,145.67
60644,Best Western Premier Ducs de Bourgogne,221.02,374.14
60725,Hotel Le Louis Versailles Chateau - MGallery,146.98,611.82
60775,Hotel Goya,24.51,54.36
60799,TRH Ciudad de Baeza Hotel,33.89,212.48
60820,NH Barcelona Eixample,60.29,130.52
60830,Salles Ciutat Del Prat Hotel,94.49,159.39
60832,Hotel SB Bcn Events,81.38,206.66
60888,Hotel Santa Cecilia,58.52,104.49
60941,Fuerte Grazalema Hotel,62.16,182.34
60964,Vitalclass Lanzarote Sport & Wellness Resort,81.69,590.09
60997,NH Madrid Alonso Martinez,143.66,210.8
61127,Maritim,79.37,233.45
61172,Hotel Delta Tudela,53.53,103.48
61186,Posadas de Espana Paterna,44.14,156.49
62322,Art Hotel Athens,47.57,110.03
62374,Hotel Del Levante,93.44,271.25
62401,Hotel Barsotti,69.32,122.23
62405,Golden Tulip Marina Di Castello,55.43,198.43
62476,Hotel President,67.0,203.11
62480,Eurostars Toscana Hotel,66.01,126.79
62522,Hotel Suite Esedra,42.0,119.55
62543,MH Hotel Piacenza Fiera,73.33,134.43
62544,Grand Hotel Bologna,58.92,129.59
62584,Del Corso Hotel,98.45,218.47
62614,Priscilla Hotel,37.78,168.78
62636,Grand Hotel & Des Anglais,65.38,1046.25
62757,Pestana Dom Joao II Villas & Beach Resort Hotel,36.91,308.61
62788,Hotel Dom Fernando,34.04,88.88
62892,Hotel Perusia La Villa,34.91,343.2
62904,Starhotels Du Parc,71.79,274.38
63392,Best Western Hotel Bologna,75.85,175.81
63393,SHG Hotel Verona,55.25,212.98
63490,Falkensteiner Hotel Wien Zentrum Schottenfeld,144.91,210.86
63576,Hotel Gromada Torun,23.8,61.87
63659,Hotel Delta Florence,49.93,966.35
63693,Mercure Angioino Napoli CTR Hotel,68.92,146.68
63711,Hotel XX Settembre,55.51,113.02
63749,Holiday Inn Vilnius,71.98,140.92
63759,The Windsor Hotel,22.78,98.67
63858,Abades Benacazon Hotel Events & Spa,52.66,4876.28
63863,Hotel Los Angeles,49.69,130.6
63947,B&B Hotel Lully 3 Lakes,105.51,105.51
63986,Brook Mollington Banastre Hotel and Spa,64.94,141.49
63999,City Continental London Kensington Hotel,51.8,166.04
64019,Crowne Plaza Marlow,95.03,235.47
